Protein Uniprot,Protein names,Length,Mass
A1X283,SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains),911,101579
A1XBS5,CBY1-interacting BAR domain-containing protein 1,289,33431
A1Z1Q3,ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-),425,47421
A2A288,Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34),527,58078
A2A2Y4,FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O),597,68772
A2IDD5,Coiled-coil domain-containing protein 78 (hsCCDC78),438,48521
A2PYH4,Probable ATP-dependent DNA helicase HFM1 (EC 3.6.4.12) (SEC63 domain-containing protein 1),1435,162610
A2RRP1,NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence),2371,268571
A2RTX5,"Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)",802,92646
A2RU14,Transmembrane protein 218,115,12459
A2RU30,Protein TESPA1 (Thymocyte-expressed positive selection-associated protein 1),521,59213
A2RU49,Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1),373,41933
A2RUB1,Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein),952,107559
A2RUB6,Coiled-coil domain-containing protein 66,948,109411
A2RUC4,tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase),315,36548
A2RUH7,Myosin-binding protein H-like,354,38733
A2VDJ0,Transmembrane protein 131-like,1609,179339
A2VEC9,SCO-spondin (SCO-spondin pseudogene),5150,547841
A3KMH1,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2),1905,214824
A4D0S4,Laminin subunit beta-4 (Laminin beta-1-related protein),1761,193540
A4D126,D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD),451,49873
A4D161,Protein FAM221A,298,33083
A4D1B5,Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)],854,97802
A4D1E9,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),387,42933
A4D1P6,WD repeat-containing protein 91,747,83344
A4D1T9,Probable inactive serine protease 37 (Probable inactive trypsin-X2),235,26445
A4D256,Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C),447,51614
A4D2B0,Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1),266,27202
A4D2B8,Putative postmeiotic segregation increased 2-like protein 1 (PMS2-related protein 2) (Postmeiotic segregation increased 2-like protein 13) (Postmeiotic segregation increased 2-like protein 6) (Postmeiotic segregation increased 2-like protein 8) (Postmeiotic segregation increased protein 3) (hPMS3) (Postmeiotic segregation increased protein 8) (Putative postmeiotic segregation increased 2 pseudogene 1),440,47508
A4GXA9,Probable crossover junction endonuclease EME2 (EC 3.1.22.-),379,41178
A4UGR9,Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin),3374,382300
A5D8T8,C-type lectin domain family 18 member A (Mannose receptor-like protein 2),446,49602
A5D8V6,Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C),355,38659
A5D8V7,Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151),595,69140
A5D8W1,Cilia- and flagella-associated protein 69,941,105883
A5LHX3,Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t),300,32530
A5PKW4,PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1),1024,109543
A5PLL7,Plasmanylethanolamine desaturase (EC 1.14.19.77) (Plasmanylethanolamine desaturase 1) (Transmembrane protein 189),270,31135
A5X5Y0,5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E),456,51438
A5YKK6,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),2376,266939
A5YM72,Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1),827,88484
A6BM72,Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11),1044,110844
A6H8Y1,Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator),2624,293885
A6H8Z2,Protein FAM221B,402,45394
A6NC98,Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3),1476,164809
A6NCS4,Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F),301,32121
A6ND01,Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO),250,28672
A6ND36,Protein FAM83G (Protein associated with SMAD1),823,90835
A6NDB9,Paralemmin-3,673,71695
A6NDE4,"RNA-binding motif protein, Y chromosome, family 1 member B",496,55835
A6NDG6,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),321,34006
A6NDV4,Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6),472,51941
A6NED2,RCC1 domain-containing protein 1,376,40079
A6NEM1,Golgin subfamily A member 6-like protein 9,432,49193
A6NFA1,"Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)",517,57421
A6NFQ2,TRPM8 channel-associated factor 2 (TRP channel-associated factor 2),919,100906
A6NFX1,Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (hMfsd2b),504,53743
A6NFY7,"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)",115,12806
A6NGG8,Photoreceptor cilium actin regulator,1288,139655
A6NGQ2,Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19) (hOEP19),149,17170
A6NGU5,Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain],568,61502
A6NHL2,Tubulin alpha chain-like 3 (EC 3.6.5.-),446,49909
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),2005,226374
A6NI15,Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1),193,20778
A6NI61,Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C),221,24699
A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f),299,32755
A6NIH7,Protein unc-119 homolog B,251,28137
A6NIX2,Wilms tumor protein 1-interacting protein (WT1-interacting protein),430,45124
A6NJ46,Homeobox protein Nkx-6.3,265,28948
A6NJ78,12S rRNA N4-methylcytidine (m4C) methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15),407,46121
A6NK06,Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein),481,52628
A6NK58,"Putative lipoyltransferase 2, mitochondrial (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)",231,25195
A6NK89,Ras association domain-containing protein 10,507,56900
A6NKB5,Pecanex-like protein 2 (Pecanex homolog protein 2),2137,237277
A6NL88,Protein shisa-7 (Cystine-knot AMPAR modulating protein of 59 kDa) (CKAMP59) (GABA(A) receptor auxiliary subunit Shisa7) (Protein shisa-6-like),538,56214
A6NMY6,Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene),339,38659
A6NMZ7,Collagen alpha-6(VI) chain,2263,247173
A6NNB3,Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1),132,14378
A6NNM8,Tubulin polyglutamylase TTLL13 (EC 6.3.2.-) (Tubulin tyrosine ligase like 13) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13),815,93645
A6NNY8,Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27),438,49630
A6NNZ2,Tubulin beta 8B,444,49573
A6PVC2,Protein monoglycylase TTLL8 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 8),850,94676
A7E2V4,Zinc finger SWIM domain-containing protein 8,1837,197297
A7E2Y1,"Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)",1983,225845
A7KAX9,Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP),2087,230529
A7MCY6,TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1),615,67702
A7MD48,Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100),611,68559
A7XYQ1,Sine oculis-binding protein homolog (Jackson circler protein 1),873,92658
A8CG34,Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C),1229,125092
A8K0Z3,WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1),465,50328
A8K2U0,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),1454,161107
A8K4G0,CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5) (TREM-5) (CD antigen CD300b),201,22689
A8K7I4,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1),914,100226
A8K830,POU class 2 homeobox associating factor 3 (Cancer susceptibility candidate protein 13) (Colorectal cancer-associated protein 2) (Protein OCA-T2),251,27417
A8K8P3,Protein SFI1 homolog (hSFI1),1242,147664
A8K8V0,Zinc finger protein 785,405,46168
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABA(C) receptor),467,54272
A8MQ03,Cysteine-rich tail protein 1,144,15313
A8MQ27,E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B),555,59270
A8MT69,Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog),81,8959
A8MTA8,Protein FAM166B,275,30575
A8MTJ3,Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain),354,40357
A8MTQ0,Homeobox protein notochord,251,27003
A8MTZ0,BBSome-interacting protein 1 (BBSome-interacting protein of 10 kDa),92,10506
A8MU46,Smoothelin-like protein 1,494,52987
A8MUP2,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)",240,25910
A8MV65,Transcription cofactor vestigial-like protein 3 (Vgl-3),326,36009
A8MVW5,HEPACAM family member 2 (Mitotic kinetics regulator),462,51407
A8MW92,PHD finger protein 20-like protein 1,1017,115010
A8MW95,Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1),431,48153
A8MW99,Meiosis-specific protein MEI4,385,44024
A8MXD5,Glutaredoxin domain-containing cysteine-rich protein 1,290,32294
A8MXV4,Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19),375,42233
A8MYU2,"Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)",1149,129543
A8MZ59,Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX) (PRD-LIKE homeobox transcription factor LEUTX),198,22358
A8TX70,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4),2615,289926
A9UHW6,MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1),222,25423
A9YTQ3,Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77),701,76265
B0I1T2,Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)],1018,116442
B0L3A2,Dual endothelin-1/angiotensin II receptor (Dear) (Dual endothelin-1/VEGFsp receptor) (DEspR protein) (FBXW7 antisense RNA 1),85,9677
B0YJ81,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A),288,32388
B1AK53,Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein),854,91733
B2RTY4,Unconventional myosin-IXa (Unconventional myosin-9a),2548,292706
B2RUY7,von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like),222,24570
B2RUZ4,Small integral membrane protein 1 (Vel blood group antigen),78,8749
B2RXF5,Zinc finger and BTB domain-containing protein 42,422,46491
B2RXH2,Lysine-specific demethylase 4E (EC 1.14.11.66) (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E),506,56804
B3KU38,IQCJ-SCHIP1 readthrough transcript protein,563,62248
B6A8C7,"T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)",271,29474
B7U540,"Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)",433,48880
B7ZAQ6,Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90),455,52917
C4AMC7,Putative WAS protein family homolog 3 (Protein FAM39DP),463,49995
C9JE40,Protein PAT1 homolog 2 (PAT1-like protein 2) (Protein PAT1 homolog a) (Pat1a) (hPat1a),543,61464
C9JLW8,Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B),97,10920
C9JR72,Kelch repeat and BTB domain-containing protein 13,458,49485
C9JRZ8,Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64),316,36537
D3W0D1,Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65),207,24008
D6RGH6,Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas),385,41720
E0CX11,Short transmembrane mitochondrial protein 1,47,5265
F5H094,SLCO1B3-SLCO1B7 readthrough transcript protein (Liver specific transporter-3 transmembrane 12) (LST-3TM12) (Organic anion transporting polypeptide 1B3-1B7) (OATP1B3-1B7) (Solute carrier organic anion transporter family member 1B3-1B7) (SLCO1B3-SLCO1B7),687,76346
G2XKQ0,Small ubiquitin-related modifier 5 (SUMO-5) (SUMO1 pseudogene 1) (Ubiquitin-like 2) (Ubiquitin-like 6),101,11526
H0YL14,Transmembrane protein 250 (Herpes virus UL25-binding protein),139,16083
K7EJ46,Small integral membrane protein 22 (Cancer-associated small integral membrane open reading frame 1),83,9249
K9M1U5,Interferon lambda-4 (IFN-lambda-4),179,19675
M0R2J8,Doublecortin domain-containing protein 1 (Doublecortin domain-containing 5 protein),1783,200591
O00115,Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2),360,39581
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)",658,72912
O00124,UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6),270,30541
O00139,Kinesin-like protein KIF2A (Kinesin-2) (hK2),706,79955
O00141,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1),431,48942
O00142,"Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)",265,31005
O00144,Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349),591,64466
O00148,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),427,49130
O00151,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),329,36072
O00154,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),380,41796
O00155,Probable G-protein coupled receptor 25,361,38779
O00159,Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb),1063,121682
O00160,Unconventional myosin-If (Myosin-Ie),1098,124844
O00161,Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23),211,23354
O00165,HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1),279,31621
O00167,Eyes absent homolog 2 (EC 3.1.3.48),538,59232
O00168,Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1),92,10441
O00170,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),330,37664
O00175,C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24),119,13134
O00180,Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1),336,38143
O00182,Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21),355,39518
O00186,Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C),592,67764
O00187,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],686,75702
O00189,AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4),453,49977
O00192,Splicing regulator ARVCF (Armadillo repeat protein deleted in velo-cardio-facial syndrome),962,104642
O00194,Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG),218,24608
O00198,Activator of apoptosis harakiri (BH3-interacting domain-containing protein 3) (Neuronal death protein DP5),91,9884
O00203,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),1094,121320
O00204,Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1),365,41308
O00206,Toll-like receptor 4 (hToll) (CD antigen CD284),839,95680
O00212,Rho-related GTP-binding protein RhoD (Rho-related protein HP1) (RhoHP1),210,23466
O00213,Amyloid beta precursor protein binding family B member 1 (Amyloid-beta A4 precursor protein-binding family B member 1) (Protein Fe65),710,77244
O00214,Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1),317,35808
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)",210,23705
O00219,Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3),553,62998
